Channel 0,Channel 1,Channel 2,Channel 3,
-0.31565710285212845,-0.2560270729882177,-0.2569940464454703,-0.29051579296356067,
-0.26150658924598247,-0.23378668347140774,-0.2373322528146673,-0.25634939747396857,
-0.31759104976663366,-0.25667172195971943,-0.25731637093122117,-0.2901934684778098,
-0.26086194027448073,-0.233142034499906,-0.23797690178616904,-0.25634939747396857,
-0.3159794273378793,-0.25667172195971943,-0.2569940464454703,-0.29051579296356067,
-0.26053961578872986,-0.23378668347140774,-0.2373322528146673,-0.2560270729882177,
-0.31759104976663366,-0.2569940464454703,-0.2569940464454703,-0.28954881950630806,
-0.260217291302979,-0.233142034499906,-0.23700992832891643,-0.2550600995309651,
-0.3182356987381354,-0.25763869541697204,-0.25763869541697204,-0.29051579296356067,
-0.2582833443884738,-0.2321750610426534,-0.23668760384316556,-0.2560270729882177,
-0.31984732116688974,-0.2582833443884738,-0.2579610199027229,-0.2911604419350624,
-0.25763869541697204,-0.23185273655690253,-0.2373322528146673,-0.25538242401671596,
-0.32081429462414235,-0.2592503178457264,-0.2582833443884738,-0.29051579296356067,
-0.2550600995309651,-0.23056343861389905,-0.23604295487166382,-0.2547377750452142,
-0.32178126808139496,-0.260217291302979,-0.2579610199027229,-0.2914827664208133,
-0.2547377750452142,-0.22991878964239731,-0.2363652793574147,-0.2557047485024668,
-0.3221035925671458,-0.2598949668172281,-0.2579610199027229,-0.29083811744931154,
-0.25634939747396857,-0.23056343861389905,-0.23700992832891643,-0.25538242401671596,
-0.3221035925671458,-0.25957264233147725,-0.25860566887422465,-0.2914827664208133,
-0.25634939747396857,-0.22991878964239731,-0.23668760384316556,-0.2557047485024668,
-0.31984732116688974,-0.2579610199027229,-0.25667172195971943,-0.29083811744931154,
-0.25634939747396857,-0.23088576309964992,-0.2363652793574147,-0.2550600995309651,
-0.3221035925671458,-0.2592503178457264,-0.2579610199027229,-0.29083811744931154,
-0.2557047485024668,-0.23088576309964992,-0.2373322528146673,-0.2557047485024668,
-0.3214589435956441,-0.2589279933599755,-0.2582833443884738,-0.2914827664208133,
